kind,sb,hb,n,n_wins,sum_winner,sum_loser
J,0,0,0,0,0,0
J,0,1,0,0,0,0
J,0,2,0,0,0,0
J,0,3,0,0,0,0
J,0,4,0,0,0,0
J,0,5,0,0,0,0
J,0,6,0,0,0,0
J,0,7,0,0,0,0
J,0,8,0,0,0,0
J,0,9,1,1,2.4665,0
J,0,10,0,0,0,0
J,0,11,0,0,0,0
J,0,12,9,7,16.2865,-14.807
J,0,13,2,2,4.9485,0
J,0,14,3,2,4.9895,-7.241
J,0,15,0,0,0,0
J,0,16,0,0,0,0
J,0,17,2,1,2.5,-6.3915
J,0,18,0,0,0,0
J,0,19,3,3,9.495,0
J,0,20,1,1,5.455,0
J,0,21,0,0,0,0
J,0,22,0,0,0,0
J,0,23,0,0,0,0
J,1,0,0,0,0,0
J,1,1,0,0,0,0
J,1,2,0,0,0,0
J,1,3,0,0,0,0
J,1,4,0,0,0,0
J,1,5,0,0,0,0
J,1,6,5,2,4.914,-21.213
J,1,7,6,5,12.17,-6.47
J,1,8,3,2,7.59,-6.64
J,1,9,0,0,0,0
J,1,10,2,1,2.298,-7.31
J,1,11,3,1,2.3785,-13.61
J,1,12,19,13,47.95,-42.6325
J,1,13,12,7,20.523,-34.3135
J,1,14,14,9,28.857,-34.2815
J,1,15,10,6,14.484,-28.4245
J,1,16,1,0,0,-6.9515
J,1,17,3,1,2.395,-12.939
J,1,18,3,1,2.325,-13.215
J,1,19,3,1,2.125,-14.114
J,1,20,2,1,2.424,-7.9005
J,1,21,0,0,0,0
J,1,22,0,0,0,0
J,1,23,0,0,0,0
J,2,0,0,0,0,0
J,2,1,0,0,0,0
J,2,2,0,0,0,0
J,2,3,0,0,0,0
J,2,4,0,0,0,0
J,2,5,0,0,0,0
J,2,6,0,0,0,0
J,2,7,1,0,0,-6.84
J,2,8,0,0,0,0
J,2,9,0,0,0,0
J,2,10,1,1,2.42,0
J,2,11,1,1,6.145,0
J,2,12,9,7,20.6545,-15.5925
J,2,13,4,2,4.7385,-14.96
J,2,14,3,0,0,-20.765
J,2,15,0,0,0,0
J,2,16,1,1,2.42,0
J,2,17,2,1,2.488,-7.195
J,2,18,0,0,0,0
J,2,19,0,0,0,0
J,2,20,0,0,0,0
J,2,21,0,0,0,0
J,2,22,0,0,0,0
J,2,23,0,0,0,0
J,3,0,0,0,0,0
J,3,1,0,0,0,0
J,3,2,0,0,0,0
J,3,3,0,0,0,0
J,3,4,0,0,0,0
J,3,5,0,0,0,0
J,3,6,0,0,0,0
J,3,7,0,0,0,0
J,3,8,0,0,0,0
J,3,9,0,0,0,0
J,3,10,0,0,0,0
J,3,11,0,0,0,0
J,3,12,1,0,0,-6.9585
J,3,13,3,2,4.894,-6.7475
J,3,14,1,0,0,-7.341
J,3,15,0,0,0,0
J,3,16,0,0,0,0
J,3,17,0,0,0,0
J,3,18,1,1,2.1585,0
J,3,19,0,0,0,0
J,3,20,1,1,2.279,0
J,3,21,0,0,0,0
J,3,22,0,0,0,0
J,3,23,0,0,0,0
J,4,0,0,0,0,0
J,4,1,0,0,0,0
J,4,2,0,0,0,0
J,4,3,0,0,0,0
J,4,4,0,0,0,0
J,4,5,0,0,0,0
J,4,6,0,0,0,0
J,4,7,0,0,0,0
J,4,8,0,0,0,0
J,4,9,0,0,0,0
J,4,10,0,0,0,0
J,4,11,0,0,0,0
J,4,12,2,2,4.8715,0
J,4,13,0,0,0,0
J,4,14,1,0,0,-8.3
J,4,15,0,0,0,0
J,4,16,0,0,0,0
J,4,17,0,0,0,0
J,4,18,1,0,0,-7.31
J,4,19,0,0,0,0
J,4,20,0,0,0,0
J,4,21,0,0,0,0
J,4,22,0,0,0,0
J,4,23,0,0,0,0
J,5,0,0,0,0,0
J,5,1,0,0,0,0
J,5,2,0,0,0,0
J,5,3,0,0,0,0
J,5,4,0,0,0,0
J,5,5,0,0,0,0
J,5,6,0,0,0,0
J,5,7,0,0,0,0
J,5,8,0,0,0,0
J,5,9,0,0,0,0
J,5,10,0,0,0,0
J,5,11,0,0,0,0
J,5,12,0,0,0,0
J,5,13,0,0,0,0
J,5,14,1,1,2.45,0
J,5,15,1,1,2.1235,0
J,5,16,0,0,0,0
J,5,17,1,1,1.968,0
J,5,18,0,0,0,0
J,5,19,0,0,0,0
J,5,20,1,1,0.7845,0
J,5,21,0,0,0,0
J,5,22,0,0,0,0
J,5,23,0,0,0,0
S,0,-1,21,17,46.141,-28.4395
S,1,-1,86,50,150.434,-250.015
S,2,-1,22,13,38.866,-65.3525
S,3,-1,7,4,9.3315,-21.047
S,4,-1,4,2,4.8715,-15.61
S,5,-1,4,4,7.326,0
G,-1,-1,144,90,256.97,-380.464
