sl_mult,step1_trigger,max_hold_min,trades,wr_pct,pnl,avg_pnl,sl_hits,trail_hits,max_hold_exits,dd
1.0,15,15,46029,60.6,-1094.73,-0.0238,5454,10926,17548,1094.89
1.0,15,30,38761,67.7,-926.16,-0.0239,6369,11411,8327,926.72
1.0,15,60,34489,72.1,-823.71,-0.0239,6916,11405,3514,824.35
1.0,20,15,41241,55.0,-1052.95,-0.0255,5329,7474,19757,1055.01
1.0,20,30,33316,62.4,-790.00,-0.0237,6068,8126,9674,790.71
1.0,20,60,28973,66.9,-746.09,-0.0258,6746,8348,4197,746.31
1.0,30,15,36028,48.5,-997.69,-0.0277,5041,3841,22084,997.73
1.0,30,30,27423,55.1,-728.18,-0.0266,5672,4543,11274,728.84
1.0,30,60,22782,60.0,-594.23,-0.0261,6128,4970,5196,595.88
1.0,40,15,33650,45.5,-951.01,-0.0283,4732,2219,23092,951.32
1.0,40,30,24809,51.2,-727.71,-0.0293,5466,2739,12121,728.44
1.0,40,60,19925,55.9,-563.68,-0.0283,5775,3182,5790,564.77
1.5,15,15,34906,51.8,-645.58,-0.0185,2195,5572,21556,646.58
1.5,15,30,25868,60.3,-438.92,-0.0170,2673,6047,11089,440.58
1.5,15,60,20913,67.2,-357.71,-0.0171,3169,6237,5259,359.93
1.5,20,15,32292,47.3,-633.42,-0.0196,2079,3418,23366,633.61
1.5,20,30,22833,54.6,-427.58,-0.0187,2530,3971,12345,428.78
1.5,20,60,17393,61.2,-310.42,-0.0178,2978,4243,5916,311.10
1.5,30,15,29602,42.6,-627.10,-0.0212,1913,1534,24608,627.23
1.5,30,30,19629,47.9,-416.14,-0.0212,2337,1959,13353,417.60
1.5,30,60,13823,53.5,-259.20,-0.0188,2618,2264,6662,261.74
1.5,40,15,28431,40.8,-613.32,-0.0216,1798,776,25072,614.14
1.5,40,30,18189,45.2,-374.33,-0.0206,2157,1089,13841,375.74
1.5,40,60,12038,49.2,-225.22,-0.0187,2342,1301,7086,227.17
2.0,15,15,11353,36.5,-133.79,-0.0118,1395,0,9956,137.82
2.0,15,30,5818,36.7,-83.71,-0.0144,1560,0,4252,87.97
2.0,15,60,3655,35.6,-72.30,-0.0198,1677,0,1977,75.30
2.0,20,15,16193,37.6,-243.17,-0.0150,1227,0,14964,246.70
2.0,20,30,8788,38.9,-129.07,-0.0147,1433,0,7346,130.60
2.0,20,60,4704,38.4,-72.27,-0.0154,1628,0,3073,75.11
2.0,30,15,23015,38.8,-363.33,-0.0158,1042,0,21967,364.31
2.0,30,30,12758,41.6,-191.10,-0.0150,1312,0,11439,192.78
2.0,30,60,6956,41.8,-108.95,-0.0157,1534,0,5418,111.99
2.0,40,15,25451,39.1,-393.89,-0.0155,908,0,24538,394.36
2.0,40,30,14505,41.9,-215.04,-0.0148,1224,0,13275,216.30
2.0,40,60,8370,42.4,-146.20,-0.0175,1508,0,6858,148.97
2.5,15,15,12321,37.5,-133.67,-0.0108,830,0,11490,134.59
2.5,15,30,5535,38.3,-41.69,-0.0075,933,0,4598,46.91
2.5,15,60,3241,37.9,-18.02,-0.0056,1051,0,2190,25.45
2.5,20,15,16840,38.2,-208.06,-0.0124,680,0,16156,209.73
2.5,20,30,8764,40.1,-106.17,-0.0121,898,0,7862,108.56
2.5,20,60,4288,39.7,-30.00,-0.0070,991,0,3297,34.38
2.5,30,15,23004,39.0,-278.08,-0.0121,532,0,22466,278.58
2.5,30,30,12890,41.4,-130.37,-0.0101,732,0,12153,132.40
2.5,30,60,6712,42.6,-57.23,-0.0085,888,0,5822,59.32
2.5,40,15,25514,39.3,-310.94,-0.0122,478,0,25032,311.82
2.5,40,30,14679,42.2,-153.21,-0.0104,703,0,13973,154.07
2.5,40,60,7960,43.4,-80.02,-0.0101,827,0,7131,84.17
